"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000176658.17",1194.78289534334,-4.87591618356751,0.219159646335972,-22.2482389668247,1.17309106390334e-109,1.42501236987658e-106
"ENSG00000105388.15",1540.19356926697,-7.4353945486155,0.335355255010972,-22.1716953514631,6.44371937692536e-109,7.36706645940713e-106
"ENSG00000161249.21",850.624530996708,-2.52399789409872,0.114292140071711,-22.0837399012308,4.5300502017372e-108,4.89144754005357e-105
"ENSG00000132688.11",1518.03226259987,2.38634641467457,0.109497070832131,21.7937009322657,2.66239959960013e-105,2.72349466409622e-102
"ENSG00000184454.7",885.15029212481,-2.99927283788474,0.139197828340188,-21.5468364244502,5.66905144993557e-103,5.50918419904738e-100
"ENSG00000135333.14",1280.26026779562,6.49787127429562,0.310277708618328,20.9421144149567,2.21412022505016e-97,2.04922098543214e-94
"ENSG00000152661.9",345.875939607653,5.39967823215817,0.259884356724731,20.7772345369656,6.95512629804448e-96,6.14453794221784e-93
"ENSG00000260401.1",807.373264364496,-4.6313317992578,0.223460669799544,-20.7254896506501,2.04041431312719e-95,1.72423880825826e-92
"ENSG00000196549.10",237.740712437186,4.3726828490828,0.213201119373287,20.5096617782143,1.76517486184601e-93,1.42949744228496e-90
"ENSG00000198535.5",1905.93586130644,-2.22287400114557,0.108560343008753,-20.4759301558797,3.52945436419663e-93,2.74393900090103e-90
"ENSG00000176153.12",2577.46522390425,-3.51625613319274,0.172671065264434,-20.3638989995679,3.49622988652434e-92,2.6135663105572e-89
"ENSG00000135525.18",2249.64357298001,-1.85912198118499,0.0917657974260969,-20.2594216290904,2.93388670900166e-91,2.11196378059838e-88
"ENSG00000049283.18",381.271428063992,-3.44973025463341,0.172948918407812,-19.9465269074362,1.6066899592154e-88,1.11527235883252e-85
"ENSG00000109511.12",464.222810187361,-5.30774215792219,0.267626947302765,-19.8326148073481,1.55729832520365e-87,1.04371207753994e-84
"ENSG00000154027.19",762.932970130128,3.13634749320287,0.159175000283306,19.7037693583834,2.00149393291719e-86,1.29670120267262e-83
"ENSG00000166145.14",1962.33983846442,-2.30127126669605,0.117178238056547,-19.6390669877245,7.17034401500465e-86,4.49557439598808e-83
"ENSG00000149573.9",2416.30317942625,-3.08472128570172,0.157599795307352,-19.5731300265072,2.62080339454422e-85,1.5918104617613e-82
"ENSG00000156711.17",1183.49586250616,-2.23334419898268,0.114249409843995,-19.5479714252553,4.29253110424294e-85,2.52817074369896e-82
"ENSG00000159166.15",3351.98863075311,-2.45792151944044,0.1258452063631,-19.5313082673059,5.94955866326416e-85,3.40104771115301e-82
"ENSG00000139629.16",807.767932061404,-1.87331139210912,0.0961271433979458,-19.4878504227886,1.39207045615205e-84,7.73036611022037e-82
"ENSG00000101955.15",604.899507727772,3.27313538576093,0.168950804353486,19.3733045443971,1.29662401729922e-83,7.00032900006321e-81
"ENSG00000157551.19",998.802786484061,5.58576086042931,0.289219240131026,19.313240909902,4.15652756327796e-83,2.18341269513163e-80
"ENSG00000142173.15",1458.02455414918,3.15389832109644,0.164037594871536,19.2266798569339,2.21353575608105e-82,1.13216528829451e-79
"ENSG00000184292.7",3692.99248787927,-2.1656629036735,0.113198079342743,-19.1316223406607,1.37720793818226e-81,6.8634393555155e-79
"ENSG00000127920.6",780.529608396968,2.10871338254357,0.110436078945768,19.0944245999452,2.80935577332281e-81,1.36506597025755e-78
"ENSG00000172548.14",350.224639611968,-2.58625645270927,0.135744972680429,-19.0523184884191,6.28556866956699e-81,2.97966616248059e-78
"ENSG00000123095.6",474.482651929331,-4.24665794673478,0.224209730482636,-18.9405604190032,5.2831768039869e-80,2.44485296100689e-77
"ENSG00000186340.15",1153.42394540572,2.99981984465727,0.158427848248831,18.9349276520228,5.87963851787684e-80,2.65759661008033e-77
"ENSG00000087495.17",392.539743088792,-5.5285659717975,0.293962320451644,-18.8070565074578,6.61079625508531e-79,2.9201690003145e-76
"ENSG00000175591.11",850.567903540186,-3.47528580274976,0.189274989167789,-18.3610408222978,2.69394040603511e-75,1.16354279403774e-72
"ENSG00000053747.16",3605.28752291025,-3.12272916989388,0.170217872924366,-18.3454834456862,3.58721548538355e-75,1.51567652551988e-72
"ENSG00000182795.13",286.183779724847,-4.77464628647523,0.26129806404585,-18.2727962562992,1.36284953419544e-74,5.63581777587715e-72
"ENSG00000131242.18",426.010938852947,-3.46799061442256,0.190117790686155,-18.2412734858017,2.42736540964607e-74,9.82880710455856e-72
"ENSG00000115221.12",867.991080288704,-3.35946051568491,0.185769722218785,-18.0840046244371,4.25990219394001e-73,1.68970324574322e-70
"ENSG00000152766.6",445.522393962545,-2.99359650932949,0.16752768044769,-17.8692649556754,2.04673415717171e-71,7.95606501575788e-69
"ENSG00000135549.15",745.441188500903,-2.61640728559342,0.146760655493086,-17.827715996517,4.30658441533677e-71,1.64123087640167e-68
"ENSG00000173598.14",3840.60995856906,-1.45798810383309,0.0818985008124169,-17.8023784241487,6.77303028250799e-71,2.53155031866972e-68
"ENSG00000107731.12",505.838818564708,-3.56568628719968,0.201685478486149,-17.6794398583563,6.03932206948793e-70,2.17370858782532e-67
"ENSG00000119411.11",270.612829348313,-6.35540741518854,0.359465061944809,-17.6801811580907,5.96043855595189e-70,2.17370858782532e-67
"ENSG00000140284.11",347.13715822982,-2.98629309596663,0.16899992391825,-17.6703813039063,7.09159432527895e-70,2.50604049647494e-67
"ENSG00000115339.14",364.51483310596,-6.42348806902143,0.366394688503371,-17.5316080461203,8.22112287741801e-69,2.85331686152672e-66
"ENSG00000150054.18",279.890610297325,-3.2858214358934,0.187477907563068,-17.526446068255,9.00233373752956e-69,3.06963786881797e-66
"ENSG00000177283.7",546.832070982698,2.12294038025891,0.12275633357648,17.2939376601393,5.22574765999898e-67,1.75116606068518e-64
"ENSG00000103534.17",984.224590220306,-2.43519530117966,0.142432908457956,-17.097139471097,1.55869238290768e-65,5.13470256850739e-63
"ENSG00000143147.14",986.551678123258,2.01434001967126,0.118257131647793,17.0335606115544,4.62993674089724e-65,1.49979084160131e-62
"ENSG00000103888.17",1785.44045129903,-3.67738062075507,0.217077894018542,-16.9403735805589,2.26680549755365e-64,7.22256256564798e-62
"ENSG00000176920.13",332.996488753849,-3.10577425663809,0.183473896519094,-16.9276083168315,2.81591453414049e-64,8.82743788476687e-62
