Ensembl ID#,S2-013-1,S2-013-2,S2-013-3,S2-LM7AA-1,S2-LM7AA-2,S2-LM7AA-3,Suit2-1,Suit2-2,Suit2-3,Suit2-OE-1,Suit2-OE-2,Suit2-OE-3
ENSG00000165887.11,92,62,76,2,0,0,1,1,2,3,8,7
ENSG00000165891.16,2891,2487,2139,1715,3175,1710,1116,592,673,1295,1379,1673
ENSG00000165895.19,1982,1690,1206,2001,3686,1993,2302,1177,1471,2296,3236,2845
ENSG00000165898.14,778,647,791,393,726,551,421,465,293,447,569,749
ENSG00000165899.11,1,0,0,0,0,0,1,0,0,0,0,0
ENSG00000165905.18,45,62,64,17,21,22,27,20,19,29,40,39
ENSG00000165912.16,1704,1483,1800,928,1601,1302,613,541,366,845,934,1125
ENSG00000165914.15,2069,1767,1897,786,1341,854,341,226,237,583,661,624
ENSG00000165915.14,868,766,850,906,1512,1019,488,473,374,736,811,928
ENSG00000165916.8,10460,8226,9964,7339,12553,9810,6317,6016,4525,7099,6899,10817
ENSG00000165917.10,5,1,8,7,9,2,1,1,6,9,2,6
ENSG00000165923.16,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165929.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165934.13,6698,5316,5325,4505,7814,4959,4784,3514,3477,4226,4645,6014
ENSG00000165935.9,25,17,10,9,25,14,15,9,3,15,11,19
ENSG00000165943.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165948.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165949.12,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165953.9,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000165959.12,1781,1605,1493,858,1365,864,444,328,387,804,995,895
ENSG00000165966.16,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165970.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165972.13,2,2,1,0,2,2,5,0,1,2,7,11
ENSG00000165973.19,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165983.14,1801,1582,1656,1100,2054,1220,1157,907,828,1061,1453,1522
ENSG00000165985.10,3,1,5,3,8,7,7,2,3,3,5,10
ENSG00000165995.20,9,6,4,12,27,5,14,12,7,14,14,20
ENSG00000165996.14,795,646,777,518,787,622,325,252,191,357,435,462
ENSG00000165997.5,3727,3082,2473,1818,3174,1624,1848,1244,1342,1840,2445,2445
ENSG00000166002.7,674,599,663,359,605,498,212,163,150,344,377,428
ENSG00000166004.15,2173,1927,1304,1641,3077,1402,1490,798,1165,1467,1846,1767
ENSG00000166006.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166007.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166012.17,6593,5080,5701,4318,8078,5273,4594,3589,2730,3672,4172,5990
ENSG00000166013.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166016.6,1757,1369,1363,441,637,429,464,403,360,707,506,867
ENSG00000166024.13,1260,1048,1098,708,1158,796,656,623,515,711,894,1040
ENSG00000166025.18,9334,7553,6561,4163,6585,3505,1441,811,1038,2760,3237,3329
ENSG00000166033.13,6848,6549,6853,10659,18809,13636,3136,2999,2458,6639,7160,7499
ENSG00000166035.11,33,21,41,6,15,21,4,4,3,12,19,7
ENSG00000166037.11,6501,5584,5415,4303,7705,4509,3572,2866,2767,3880,5518,5090
ENSG00000166046.11,175,277,189,45,114,52,52,37,41,104,275,96
ENSG00000166049.11,0,0,1,2,0,0,0,0,0,0,0,0
ENSG00000166068.13,2832,2126,1905,1243,2037,1091,1244,922,989,1767,2239,2101
ENSG00000166069.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166073.10,1639,1356,1294,646,1205,712,198,123,107,466,515,530
